,parameter,counts,counts_H,counts_NH,p_from_H,p_from_NH,priority
163,버리다/Verb,2073,660,1413,0.007336104750683591,0.01569407112868472,0.6816208393632417
164,느끼다/Verb,2066,1442,624,0.016028277349220816,0.006930715063198347,0.6979670861568248
165,많이/Adverb,2064,1130,934,0.012560300557988574,0.010373858764466757,0.5474806201550387
166,때문/Noun,2060,810,1250,0.009003401284929862,0.013883643956727459,0.6067961165048543
167,!!!/Punctuation,2038,1392,646,0.015472511837805392,0.00717506719683675,0.6830225711481845
168,또/Noun,2013,1348,665,0.01498343818775982,0.007386098584979008,0.6696472925981123
169,중/Noun,1957,1139,818,0.01266033835004335,0.00908545660528245,0.5820132856412877
170,해주다/Verb,1945,1324,621,0.014716670742280417,0.006897394317702202,0.680719794344473
171,여자/Noun,1944,757,1187,0.008414289842829513,0.013183908301308394,0.61059670781893
172,난/Noun,1928,1196,732,0.013293911033056932,0.0081302619010596,0.6203319502074689
173,꼭/Noun,1920,1594,326,0.017717804503923705,0.003620854343914521,0.8302083333333333
174,내/Determiner,1911,839,1072,0.009325745281550809,0.011906613057289468,0.5609628466771324
175,에게/Josa,1907,1144,763,0.012715914901184892,0.00847457627118644,0.5998951232302046
176,보기/Noun,1903,847,1056,0.009414667763377276,0.011728902414643357,0.5549132947976878
177,아름답다/Adjective,1901,1659,242,0.018440299668763756,0.002687873470022436,0.8726985796948974
178,하/Suffix,1862,787,1075,0.008747749149678767,0.011939933802785614,0.5773361976369495
179,이고/Josa,1836,960,876,0.010670697819176133,0.009729657684874602,0.5228758169934641
180,어떻다/Adjective,1819,805,1014,0.00894782473378832,0.011262411977697314,0.5574491478834525
181,마음/Noun,1810,1497,313,0.016639619411777783,0.0034764644467645558,0.8270718232044199
182,인생/Noun,1810,1304,506,0.014494364537714247,0.0056200990736832756,0.7204419889502762
183,서/Josa,1808,876,932,0.009737011759998221,0.010351644934135993,0.5154867256637168
184,엔/Josa,1801,827,974,0.009192361558811106,0.010818135371082036,0.5408106607440311
185,기억/Noun,1794,1237,557,0.01374963875241758,0.006186551747117756,0.689520624303233
186,부터/Josa,1791,743,1048,0.008258675499633194,0.011640047093320302,0.5851479620323842
187,결말/Noun,1777,729,1048,0.008103061156436876,0.011640047093320302,0.5897580191333709
188,끄다/Verb,1754,541,1213,0.006013382833514883,0.013472688095608325,0.6915621436716077
189,아쉽다/Adjective,1746,1186,560,0.013182757930773848,0.0062198724926139015,0.6792668957617412
190,면/Josa,1746,896,850,0.00995931796456439,0.009440877890574672,0.5131729667812142
191,ㅎㅎ/KoreanParticle,1744,1498,246,0.01665073472200609,0.002732301130683964,0.8589449541284404
192,보여주다/Verb,1738,936,802,0.01040393037369673,0.008907745962636337,0.5385500575373993
193,랑/Josa,1721,744,977,0.008269790809861503,0.010851456116578182,0.567693201626961
194,못/Noun,1720,544,1176,0.006046728764199809,0.013061732234489193,0.6837209302325581
195,소재/Noun,1714,594,1120,0.0066024942756152324,0.012439744985227803,0.6534422403733956
196,이나/Josa,1704,527,1177,0.005857768490318565,0.013072839149654574,0.6907276995305164
197,어리다/Verb,1690,1270,420,0.014116443989951759,0.004664904369460426,0.7514792899408284
198,재다/Verb,1675,1417,258,0.015750394593513104,0.0028655841126685472,0.8459701492537314
199,없이/Adverb,1675,902,773,0.010026009825934242,0.00858564542284026,0.5385074626865671
200,뻔하다/Adjective,1670,457,1213,0.005079696774336972,0.013472688095608325,0.7263473053892215
201,애/Noun,1670,576,1094,0.00640241869150568,0.012150965190927872,0.6550898203592814
202,수준/Noun,1658,273,1385,0.003034479692328213,0.015383077504054024,0.8353437876960192
203,맞다/Verb,1649,477,1172,0.005302002978903141,0.013017304573827665,0.7107337780473014
204,한번/Noun,1640,1136,504,0.012626992419358425,0.005597885243352511,0.6926829268292682
205,편/Noun,1613,721,892,0.008014138674610408,0.009907368327520715,0.5530068195908245
206,네/Josa,1608,469,1139,0.005213080497076673,0.01265077637337006,0.7083333333333334
207,먹다/Verb,1594,709,885,0.007880754951870707,0.009829619921363041,0.555207026348808
208,웃기다/Verb,1590,781,809,0.008681057288308917,0.008985494368794011,0.5088050314465409
209,라는/Josa,1588,783,805,0.008703287908765534,0.008941066708132482,0.506926952141058
210,현실/Noun,1587,1041,546,0.01157103794766912,0.006064375680298554,0.6559546313799622
211,전개/Noun,1586,418,1168,0.0046461996754329415,0.012972876913166138,0.7364438839848676
212,매력/Noun,1586,1153,433,0.012815952693239669,0.004809294266610391,0.7269861286254728
213,무섭다/Adjective,1580,677,903,0.0075250650245648355,0.010029544394339916,0.5715189873417722
214,되어다/Verb,1577,1073,504,0.01192672787497499,0.005597885243352511,0.6804058338617628
215,가슴/Noun,1575,1376,199,0.015294666874152457,0.0022102761179110114,0.8736507936507937
216,낮다/Adjective,1560,1254,306,0.013938599026298824,0.003398716040606882,0.8038461538461539
217,말다/Verb,1559,338,1221,0.0037569748571682636,0.013561543416931382,0.7831943553559975
218,끝나다/Verb,1557,666,891,0.007402796612053442,0.009896261412355332,0.5722543352601156
219,~~/Punctuation,1556,1038,518,0.011537692016984194,0.005753382055667859,0.6670951156812339
220,야/Josa,1543,373,1170,0.00414601071515906,0.012995090743496902,0.7582631237848347
221,한국/Noun,1543,817,726,0.009081208456528022,0.008063620410067309,0.5294880103694103
222,높다/Adjective,1536,327,1209,0.0036347064446568705,0.013428260434946798,0.787109375
223,님/Suffix,1536,948,588,0.01053731409643643,0.006530866117244597,0.6171875
224,알/Noun,1535,886,649,0.009848164862281307,0.007208387942332897,0.5771986970684039
225,가장/Noun,1534,1006,528,0.011182002089678324,0.005864451207321679,0.6558018252933507
226,;;/Punctuation,1523,373,1150,0.00414601071515906,0.012772952440189262,0.7550886408404465
227,저/Noun,1522,907,615,0.010081586377075784,0.0068307528267099096,0.5959264126149802
228,슬프다/Adjective,1504,1292,212,0.014360980814974547,0.002354666015060977,0.8590425531914894
229,??/Punctuation,1503,455,1048,0.005057466153880355,0.011640047093320302,0.697272122421823
230,본/Modifier,1496,741,755,0.008236444879176578,0.008385720949863385,0.5046791443850267
231,멋지다/Adjective,1475,1271,204,0.014127559300180068,0.0022658106937379213,0.8616949152542372
232,남자/Noun,1459,711,748,0.007902985572327324,0.008307972543705711,0.5126799177518848
233,아/Josa,1457,606,851,0.006735877998354934,0.009451984805740055,0.5840768702814001
234,하지만/Conjunction,1453,772,681,0.00858101949625414,0.00756380922762512,0.5313145216792843
235,음악/Noun,1452,1077,375,0.011971189115888224,0.004165093187018238,0.7417355371900827
236,반전/Noun,1452,767,685,0.008525442945112599,0.007608236888286647,0.528236914600551
237,성/Suffix,1445,496,949,0.0055131938732410025,0.010540462491947487,0.6567474048442906
238,늘다/Verb,1443,678,765,0.007536180334793144,0.008496790101517205,0.5301455301455301
239,유치하다/Adjective,1442,282,1160,0.0031345174843829893,0.012884021591843082,0.8044382801664355
240,아이/Noun,1436,944,492,0.010492852855523198,0.005464602261367928,0.6573816155988857
241,죽다/Verb,1435,475,960,0.0052797723584465245,0.010662638558766688,0.6689895470383276
242,함/Noun,1425,758,667,0.008425405153057822,0.007408312415309772,0.5319298245614035
243,기/Modifier,1424,720,704,0.0080030233643821,0.007819268276428905,0.5056179775280899
244,솔직하다/Adjective,1420,500,920,0.005557655114154236,0.01021836195215141,0.647887323943662
245,크다/Verb,1413,727,686,0.008080830535980259,0.0076193438034520295,0.5145081387119603
246,줄/Noun,1411,605,806,0.006724762688126626,0.008952173623297865,0.5712260807937632
247,무슨/Noun,1408,215,1193,0.0023897916990863214,0.013250549792300687,0.8473011363636364
248,추천/Noun,1403,1037,366,0.011526576706755885,0.0040651309505298,0.7391304347826086
249,만/Noun,1401,947,454,0.010526198786208123,0.005042539485083413,0.6759457530335474
250,냐/Josa,1392,169,1223,0.0018784874285841318,0.013583757247262145,0.8785919540229885
251,인지/Josa,1383,425,958,0.004724006847031101,0.010640424728435923,0.6926970354302241
252,쓰다/Verb,1383,430,953,0.004779583398172643,0.010584890152609014,0.6890817064352857
253,게/Noun,1380,485,895,0.005390925460729609,0.00994068907301686,0.6485507246376812
254,눈물/Noun,1378,1156,222,0.012849298623924595,0.0024657351667147966,0.8388969521044993
255,인가/Josa,1378,446,932,0.004957428361825579,0.010351644934135993,0.6763425253991292
256,도/Noun,1374,658,716,0.007313874130226975,0.007952551258413489,0.5211062590975255
257,번/Noun,1370,945,425,0.010503968165751507,0.004720438945287336,0.6897810218978102
258,내다/Verb,1366,686,680,0.007625102816619612,0.0075527023124597375,0.5021961932650073
259,ㅠ/KoreanParticle,1361,899,462,0.009992663895249316,0.005131394806406469,0.6605437178545187
260,자체/Noun,1360,582,778,0.006469110552875531,0.00864117999866717,0.5720588235294117
261,저/Determiner,1355,471,884,0.005235311117533291,0.009818513006197658,0.6523985239852399
262,우리/Noun,1346,996,350,0.011070848987395238,0.0038874203078836885,0.7399702823179792
263,인간/Noun,1346,839,507,0.009325745281550809,0.005631205988848657,0.6233283803863299
264,네/Suffix,1337,913,424,0.010148278238445635,0.004709332030121954,0.6828721017202692
265,야하다/Adjective,1322,769,553,0.008547673565569215,0.006142124086456227,0.5816944024205749
266,'/Punctuation,1314,678,636,0.007536180334793144,0.0070639980451829305,0.5159817351598174
267,지만/Josa,1312,784,528,0.008714403218993843,0.005864451207321679,0.5975609756097561
268,속/Noun,1307,819,488,0.009103439076984639,0.005420174600706399,0.6266258607498087
269,영/Modifier,1305,619,686,0.006880377031322944,0.0076193438034520295,0.5256704980842912
270,허다/Verb,1294,206,1088,0.002289753907031545,0.01208432369993558,0.8408037094281299
271,눈/Noun,1292,674,618,0.00749171909387991,0.006864073572206055,0.521671826625387
272,원작/Noun,1275,429,846,0.004768468087944335,0.009396450229913145,0.6635294117647059
273,짜증나다/Adjective,1251,81,1170,0.0009003401284929862,0.012995090743496902,0.935251798561151
274,그래도/Adverb,1246,736,510,0.008180868328035036,0.005664526734344803,0.5906902086677368
275,살다/Verb,1239,732,507,0.008136407087121801,0.005631205988848657,0.5907990314769975
276,뭔가/Noun,1237,502,735,0.005579885734610853,0.008163582646555746,0.5941794664510913
277,코미디/Noun,1235,485,750,0.005390925460729609,0.008330186374036475,0.6072874493927125
278,찍다/Verb,1231,259,972,0.0028788653491318944,0.010795921540751272,0.7896019496344435
279,보이다/Verb,1231,504,727,0.00560211635506747,0.00807472732523269,0.5905767668562144
280,연기력/Noun,1225,680,545,0.007558410955249761,0.006053268765133172,0.5551020408163265
281,캐릭터/Noun,1225,562,663,0.006246804348309361,0.007363884754648244,0.5412244897959184
282,기대하다/Adjective,1222,341,881,0.003790320787853189,0.009785192260701512,0.720949263502455
283,돼다/Verb,1217,575,642,0.006391303381277372,0.0071306395361752225,0.5275267050123253
284,여운/Noun,1210,1139,71,0.01266033835004335,0.0007885909767421196,0.9413223140495868
285,이상/Noun,1209,637,572,0.007080452615432497,0.006353155474598485,0.5268817204301075
286,움/Noun,1204,432,772,0.00480181401862926,0.00857453850767488,0.6411960132890365
287,이네/Josa,1200,505,695,0.005613231665295778,0.007719306039940467,0.5791666666666667
288,전혀/Noun,1199,338,861,0.0037569748571682636,0.009563053957393873,0.7180984153461217
289,기대/Noun,1198,745,453,0.008280906120089812,0.005031432569918031,0.6218697829716193
290,지다/Verb,1197,523,674,0.005813307249405331,0.007486060821467445,0.5630743525480367
291,모두/Noun,1194,810,384,0.009003401284929862,0.004265055423506675,0.678391959798995
292,대박/Noun,1180,975,205,0.01083742747260076,0.002276917608903303,0.826271186440678
293,대한/Noun,1173,715,458,0.007947446813240557,0.005086967145744941,0.6095481670929241
294,공감/Noun,1172,643,529,0.007147144476802348,0.005875558122487061,0.5486348122866894
295,씨/Suffix,1170,706,464,0.007847409021185782,0.005153608636737233,0.6034188034188034
296,근데/Adverb,1165,632,533,0.007024876064290955,0.0059199857831485885,0.542489270386266
297,별/Noun,1164,304,860,0.0033790543094057756,0.009551947042228491,0.738831615120275
298,이쁘다/Adjective,1161,733,428,0.00814752239735011,0.004753759690783481,0.6313522825150732
299,계속/Noun,1161,707,454,0.00785852433141409,0.005042539485083413,0.6089577950043066
300,굿/Noun,1156,1072,84,0.011915612564746682,0.0009329808738920852,0.9273356401384083
301,아주/Noun,1152,682,470,0.007580641575706378,0.005220250127729524,0.5920138888888888
302,시리즈/Noun,1149,660,489,0.007336104750683591,0.0054312815158717815,0.5744125326370757
303,모습/Noun,1142,842,300,0.009359091212235734,0.00333207454961459,0.7373029772329247
304,별/Modifier,1142,316,826,0.0035124380321454774,0.009174311926605505,0.723292469352014
305,미치다/Adjective,1139,415,724,0.004612853744748016,0.008041406579736544,0.6356453028972783
306,개봉/Noun,1138,496,642,0.0055131938732410025,0.0071306395361752225,0.5641476274165202
307,에는/Josa,1137,526,611,0.005846653180090256,0.006786325166048382,0.5373790677220757
308,전/Noun,1126,674,452,0.00749171909387991,0.005020325654752649,0.5985790408525755
309,치다/Verb,1122,345,777,0.003834782028766423,0.008630073083501789,0.6925133689839572
310,실망/Noun,1118,115,1003,0.0012782606762554744,0.011140235910878113,0.8971377459749553
